player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Andriy Lunin,UKR,GK,Real Madrid,La Liga,25,1999,7,0,0,0,0,1,0,0,0,0,0,0,0,14,2,0,100
Massimo Luongo,AUS,MF,Ipswich Town,Premier League,31,1992,2.2,0,0,0,1,2,0,1,2,6,0,0,0,10,2,0,100
Sebastiano Luperto,ITA,DF,Cagliari,Serie A,27,1996,36,4,0,0,23,20,1,8,33,27,0,1,0,139,61,54,53
Zito Luvumbo,ANG,"FW,MF",Cagliari,Serie A,22,2002,17.8,2,0,0,38,51,11,65,4,6,0,0,0,50,6,17,26.1
Charalambos Lykogiannis,GRE,DF,Bologna,Serie A,30,1993,11.6,3,0,0,10,7,2,106,11,14,0,0,0,35,26,13,66.7
Senne Lynen,BEL,MF,Werder Bremen,Bundesliga,25,1999,30.4,9,0,0,38,25,0,5,65,39,0,0,0,191,25,28,47.2
Mathias Løvik,NOR,"DF,FW",Parma,Serie A,20,2003,1,0,0,0,2,0,0,3,2,0,0,0,0,2,2,2,50
Othmane Maamma,MAR,"FW,MF",Montpellier,Ligue 1,18,2005,4,1,0,0,4,8,2,12,1,1,0,0,0,12,1,4,20
Ian Maatsen,NED,DF,Aston Villa,Premier League,22,2002,12.7,2,0,0,11,9,3,51,15,17,0,1,0,67,10,6,62.5
Alexis Mac Allister,ARG,MF,Liverpool,Premier League,25,1998,28.9,6,0,0,62,40,2,86,22,58,0,0,0,148,19,34,35.8
Deiver Machado,COL,"DF,MF",Lens,Ligue 1,30,1993,20.1,7,2,1,28,30,5,51,16,26,0,0,0,89,16,16,50
Lanroy Machine,FRA,FW,Angers,Ligue 1,18,2005,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Shuto Machino,JPN,"FW,MF",Holstein Kiel,Bundesliga,24,1999,21.7,2,0,0,19,25,9,35,7,5,0,0,0,50,27,42,39.1
Darwin Machís,VEN,"MF,FW",Valladolid,La Liga,31,1993,7.1,0,0,0,4,14,2,68,5,4,0,0,0,34,6,2,75
Yvann Macon,FRA,DF,Saint-Étienne,Ligue 1,25,1998,8.8,4,0,0,26,8,1,23,2,11,0,0,0,42,3,12,20
James Maddison,ENG,MF,Tottenham,Premier League,27,1996,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7
Eros Maddy,NED,DF,Auxerre,Ligue 1,23,2001,0.2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
Noni Madueke,ENG,FW,Chelsea,Premier League,22,2002,22.6,3,0,0,22,25,5,63,10,18,0,0,0,84,11,19,36.7
Pablo Maffeo,ESP,DF,Mallorca,La Liga,27,1997,26.3,7,0,0,22,37,1,96,25,40,0,0,0,107,21,18,53.8
Gabriel Magalhães,BRA,DF,Arsenal,Premier League,26,1997,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9
Soungoutou Magassa,FRA,MF,Monaco,Ligue 1,20,2003,11.4,5,1,0,28,20,0,7,21,25,0,0,0,90,13,21,38.2
Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,Premier League,23,2001,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25
Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,28,1995,11.8,2,0,0,8,11,0,2,17,15,0,0,0,38,29,18,61.7
Hugo Magnetti,FRA,MF,Brest,Ligue 1,26,1998,25.8,5,0,0,29,22,0,18,18,32,0,0,0,111,10,10,50
Frank Magri,CMR,"FW,MF",Toulouse,Ligue 1,24,1999,16.8,5,1,0,26,28,4,4,4,2,0,0,0,21,40,82,32.8
Harry Maguire,ENG,DF,Manchester Utd,Premier League,31,1993,19.5,7,0,0,18,11,2,4,40,15,0,0,0,68,64,25,71.9
Jon Magunazelaia,ESP,MF,Real Sociedad,La Liga,23,2001,0.1,0,0,0,1,1,0,0,0,1,0,0,0,5,3,0,100
Arne Maier,GER,MF,Augsburg,Bundesliga,25,1999,10.4,0,1,0,9,7,0,67,6,7,0,0,0,72,4,7,36.4
Mike Maignan,FRA,GK,Milan,Serie A,29,1995,36.6,1,0,0,1,7,0,0,0,0,0,1,0,67,4,0,100
Patrick Mainka,GER,DF,Heidenheim,Bundesliga,29,1994,34,3,0,0,17,21,2,4,68,30,0,0,0,152,109,62,63.7
Kobbie Mainoo,ENG,MF,Manchester Utd,Premier League,19,2005,18.3,5,0,0,27,21,3,7,19,29,0,0,0,88,19,31,38
Ainsley Maitland-Niles,ENG,DF,Lyon,Ligue 1,26,1997,22.1,1,0,0,16,10,3,48,25,44,0,0,0,89,15,14,51.7
Radosław Majecki,POL,GK,Monaco,Ligue 1,24,1999,15,1,0,0,0,1,0,0,0,0,0,0,0,19,5,0,100
Lovro Majer,CRO,MF,Wolfsburg,Bundesliga,26,1998,3.4,1,0,0,6,6,0,17,1,1,0,0,0,12,3,4,42.9
Hamidou Makalou,MLI,"FW,MF",Brest,Ligue 1,18,2006,0.4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Jordy Makengo,FRA,DF,Freiburg,Bundesliga,22,2001,8.3,1,0,0,5,6,2,25,7,9,0,0,0,26,5,6,45.5
Antoine Makoumbou,CGO,MF,Cagliari,Serie A,26,1998,23.9,4,1,1,27,15,0,7,17,23,0,1,0,109,4,18,18.2
Nikola Maksimović,SRB,DF,Montpellier,Ligue 1,32,1991,6.5,2,0,0,3,5,0,0,6,5,0,0,0,14,8,13,38.1
Tyrell Malacia,NED,DF,Manchester Utd,Premier League,24,1999,1.1,1,0,0,3,2,0,1,1,1,0,0,0,3,0,0,
Jarzinho Malanga,GER,DF,Stuttgart,Bundesliga,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Julián Malatini,ARG,DF,Werder Bremen,Bundesliga,23,2001,5,1,0,0,9,5,0,3,7,9,0,0,0,19,10,5,66.7
Daniel Maldini,ITA,"MF,FW",Monza,Serie A,22,2001,14.5,5,0,0,15,39,2,38,4,6,0,0,0,52,22,27,44.9
Daniel Maldini,ITA,"FW,MF",Atalanta,Serie A,22,2001,2.9,0,0,0,3,7,1,5,2,2,0,0,0,8,8,5,61.5
Youssef Maleh,MAR,MF,Empoli,Serie A,25,1998,16.8,5,1,1,32,29,1,16,16,23,0,0,0,96,9,18,33.3
Donyell Malen,NED,FW,Aston Villa,Premier League,25,1999,3.4,0,0,0,1,5,2,8,0,4,0,0,0,9,4,4,50
